"","year","fips","leaid","enr_lep","enr_all","psenr_lep","psenr_all","ratio_lep"
"746",2017,"Arizona","0405100",5,21,-2,-2,0.238095238095238
"747",2017,"Arizona","0405190",17,1115,-4,33,0.0152466367713004
"748",2017,"Arizona","0405220",18,170,-2,-2,0.105882352941176
"749",2017,"Arizona","0405320",10,1382,-4,14,0.00723589001447178
"750",2017,"Arizona","0405340",2,143,0,10,0.013986013986014
"751",2017,"Arizona","0405360",0,62,-4,-4,0
"752",2017,"Arizona","0405400",498,1687,0,112,0.295198577356254
"753",2017,"Arizona","0405430",120,288,-2,-2,0.416666666666667
"754",2017,"Arizona","0405460",27,790,5,73,0.0341772151898734
"755",2017,"Arizona","0405500",0,13,-2,-2,0
"756",2017,"Arizona","0405530",1819,5881,-18,-2,0.30930113926203
"757",2017,"Arizona","0405640",10,379,0,50,0.0263852242744063
